symbol,name,market cap,country,ipo year,sector,industry
acor,Acorda Therapeutics Inc. Common Stock,40122928,United States,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
acp,Aberdeen Income Credit Strategies Fund Common Shares,188615279,United States,2011,,
acre,Ares Commercial Real Estate Corporation Common Stock,388595308,United States,2012,Consumer Services,Real Estate Investment Trusts
acrs,Aclaris Therapeutics Inc. Common Stock,292494968,United States,2015,Health Care,Major Pharmaceuticals
acrx,AcelRx Pharmaceuticals Inc. Common Stock,109477912,United States,2011,Health Care,Major Pharmaceuticals
acst,Acasti Pharma Inc. Class A Common Stock,30627731,Canada,,Health Care,Major Pharmaceuticals
actc,ArcLight Clean Transition Corp. Class A Ordinary Shares,391968750,United States,2020,Finance,Business Services
actg,Acacia Research Corporation (Acacia Tech) Common Stock,194023062,United States,,Miscellaneous,Multi-Sector Companies
acu,Acme United Corporation. Common Stock,106344379,United States,1988,Capital Goods,Industrial Machinery/Components
acv,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,338883802,United States,2015,,
acy,AeroCentury Corp. Common Stock,12660790,United States,,Technology,Diversified Commercial Services
adap,Adaptimmune Therapeutics plc American Depositary Shares,832709750,United Kingdom,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
adbe,Adobe Inc. Common Stock,2.39111E+11,United States,1986,Technology,Computer Software: Prepackaged Software
adc,Agree Realty Corporation Common Stock,3626769388,United States,,Consumer Services,Real Estate Investment Trusts
adct,ADC Therapeutics SA Common Shares,2507932603,,2020,Health Care,Major Pharmaceuticals
ades,Advanced Emissions Solutions Inc. Common Stock,103682688,United States,,Basic Industries,Major Chemicals
adi,Analog Devices Inc. Common Stock,53959574650,United States,,Technology,Semiconductors
adil,Adial Pharmaceuticals Inc Common Stock,24756132,United States,2018,Health Care,Major Pharmaceuticals
adm,Archer-Daniels-Midland Company Common Stock,27758249655,United States,,Consumer Non-Durables,Packaged Foods
adma,ADMA Biologics Inc Common Stock,191459805,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
admp,Adamis Pharmaceuticals Corporation Common Stock,45995261,United States,,Health Care,Major Pharmaceuticals
adms,Adamas Pharmaceuticals Inc. Common Stock,126060694,United States,2014,Health Care,Major Pharmaceuticals
adnt,Adient plc Ordinary Shares ,3290969593,,2016,Capital Goods,Auto Parts:O.E.M.
adoc,Edoc Acquisition Corp. Class A Ordinary Share,123539763,United States,2020,Finance,Business Services
adp,Automatic Data Processing Inc. Common Stock,74750856306,United States,,Technology,EDP Services
adpt,Adaptive Biotechnologies Corporation Common Stock,8131120191,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ads,Alliance Data Systems Corporation Common Stock,3629337282,United States,2001,Miscellaneous,Business Services
adsk,Autodesk Inc. Common Stock,65963038802,United States,,Technology,Computer Software: Prepackaged Software
adt,ADT Inc. Common Stock,6488101656,United States,2018,Consumer Services,Diversified Commercial Services
adtn,ADTRAN Inc. Common Stock,706395121,United States,1994,Public Utilities,Telecommunications Equipment
adtx,ADiTx Therapeutics Inc. Common Stock,26462736,United States,2020,Health Care,Major Pharmaceuticals
adus,Addus HomeCare Corporation Common Stock,1838157523,United States,2009,Health Care,Medical/Nursing Services
adv,Advantage Solutions Inc. Class A Common Stock,4152883662,United States,2019,Miscellaneous,Business Services
advm,Adverum Biotechnologies Inc. Common Stock,1151697879,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
adx,Adams Diversified Equity Fund Inc.,1872614500,United States,,,
adxn,Addex Therapeutics Ltd American Depositary Shares,61351765,Switzerland,,Health Care,Major Pharmaceuticals
adxs,Advaxis Inc. Common Stock,42709656,United States,,Health Care,Major Pharmaceuticals
ae,Adams Resources & Energy Inc. Common Stock,110299384,United States,,Energy,Oil Refining/Marketing
aee,Ameren Corporation Common Stock,19062130074,United States,,Public Utilities,Power Generation
aef,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,414134508,United States,,,
aeg,AEGON N.V. Common Stock,7961938547,Netherlands,,Finance,Life Insurance
aegn,Aegion Corp Common Stock,586838288,United States,,Basic Industries,Water Supply
aehl,Antelope Enterprise Holdings Limited Common Stock (0.024 par),7640475,China,,Capital Goods,Building Materials
aehr,Aehr Test Systems Common Stock,55245439,United States,1997,Capital Goods,Electrical Products
aeis,Advanced Energy Industries Inc. Common Stock,3716280627,United States,1995,Capital Goods,Industrial Machinery/Components
ael,American Equity Investment Life Holding Company Common Stock,2782215023,United States,2003,Finance,Life Insurance
aem,Agnico Eagle Mines Limited Common Stock,17429839258,Canada,,Basic Industries,Precious Metals
aemd,Aethlon Medical Inc. Common Stock,25034896,United States,,Health Care,Medical/Dental Instruments
aenz,Aenza S.A.A. American Depositary Shares,402826049,,2018,Basic Industries,Military/Government/Technical
aeo,American Eagle Outfitters Inc. Common Stock,3380184757,United States,,Consumer Services,Clothing/Shoe/Accessory Stores
aep,American Electric Power Company Inc. Common Stock,40420999754,United States,,Public Utilities,Electric Utilities: Central
aer,AerCap Holdings N.V. Ordinary Shares,5940257743,Netherlands,2006,Technology,Diversified Commercial Services
aeri,Aerie Pharmaceuticals Inc. Common Stock,635978963,United States,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
aes,The AES Corporation Common Stock,15284713781,United States,,Basic Industries,Electric Utilities: Central
aese,Allied Esports Entertainment Inc. Common Stock,57581783,United States,2017,Consumer Services,Services-Misc. Amusement & Recreation
aey,ADDvantage Technologies Group Inc. Common Stock,35973826,United States,,Consumer Services,Office Equipment/Supplies/Services
aeye,AudioEye Inc. Common Stock,263128561,United States,,Technology,Computer Software: Prepackaged Software
aezs,Aeterna Zentaris Inc. Common Stock,26011624,Canada,,Health Care,Major Pharmaceuticals
afb,AllianceBernstein National Municipal Income Fund Inc,406165946,United States,2002,,
afg,American Financial Group Inc. Common Stock,7598869250,United States,,Finance,Property-Casualty Insurers
afgc,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,27426689,United States,2019,Finance,Property-Casualty Insurers
afi,Armstrong Flooring Inc. Common Stock,83477217,,2016,Consumer Non-Durables,Plastic Products
afib,Acutus Medical Inc. Common Stock,820345605,United States,2020,Health Care,Medical/Dental Instruments
afin,American Finance Trust Inc. Class A Common Stock,819544184,United States,,Consumer Services,Real Estate Investment Trusts
afl,AFLAC Incorporated Common Stock,31104275449,United States,,Finance,Accident &Health Insurance
afmd,Affimed N.V.,584793263,Germany,2014,Health Care,Major Pharmaceuticals
aft,Apollo Senior Floating Rate Fund Inc. Common Stock,223006234,,2011,,
afya,Afya Limited Class A Common Shares,2343118970,Brazil,2019,Consumer Services,Other Consumer Services
ag,First Majestic Silver Corp. Ordinary Shares (Canada),2950204556,Canada,,Basic Industries,Precious Metals
agba,AGBA Acquisition Limited Ordinary Share,62677750,Hong Kong,2019,Finance,Business Services
agc,Altimeter Growth Corp. Class A Ordinary Shares,821250000,United States,2020,Finance,Business Services
agco,AGCO Corporation Common Stock,7671208019,United States,,Capital Goods,Industrial Machinery/Components
agd,Aberdeen Global Dynamic Dividend Fund,131268628,United States,2006,,
age,AgeX Therapeutics Inc. Common Stock,60302405,,2018,Health Care,Major Pharmaceuticals
agen,Agenus Inc. Common Stock,613231496,United States,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
agfs,AgroFresh Solutions Inc. Common Stock,124679156,United States,2014,Finance,Business Services
agi,Alamos Gold Inc. Class A Common Shares,3459930773,Canada,2015,Basic Industries,Precious Metals
agio,Agios Pharmaceuticals Inc. Common Stock,3112536176,United States,2013,Health Care,Major Pharmaceuticals
agle,Aeglea BioTherapeutics Inc. Common Stock,379182516,United States,2016,Health Care,Major Pharmaceuticals
agm,Federal Agricultural Mortgage Corporation Common Stock,806272999,United States,,Finance,Finance Companies
agmh,AGM Group Holdings Inc. Class A Ordinary Shares,435966020,Hong Kong,2018,Technology,EDP Services
agnc,AGNC Investment Corp. Common Stock,8497122303,United States,2008,Consumer Services,Real Estate Investment Trusts
ago,Assured Guaranty Ltd. Common Stock,2513880260,Bermuda,2004,Finance,Property-Casualty Insurers
agr,Avangrid Inc. Common Stock,14089581508,United States,2015,Public Utilities,Electric Utilities: Central
agro,Adecoagro S.A. Common Shares,776784074,Luxembourg,2011,Consumer Non-Durables,Farming/Seeds/Milling
agrx,Agile Therapeutics Inc. Common Stock,253560352,United States,2014,Health Care,Major Pharmaceuticals
ags,PlayAGS Inc. Common Stock,255725263,United States,2018,Consumer Durables,Miscellaneous manufacturing industries
agtc,Applied Genetic Technologies Corporation Common Stock,106924151,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
agx,Argan Inc. Common Stock,706519304,United States,,Basic Industries,Engineering & Construction
agys,Agilysys Inc. Common Stock,918170010,United States,,Technology,EDP Services
ahac,Alpha Healthcare Acquisition Corp. Class A Common Stock,130092600,United States,2020,Finance,Business Services
ahc,A.H. Belo Corporation (TX) Common Stock,30938061,United States,,Consumer Services,Newspapers/Magazines
ahco,AdaptHealth Corp. Class A Common Stock,3315101244,United States,2018,Health Care,Medical/Nursing Services
ahh,Armada Hoffler Properties Inc. Common Stock,872310764,United States,2013,Finance,Real Estate
ahpi,Allied Healthcare Products Inc. Common Stock,20709851,United States,1992,Health Care,Industrial Specialties
aht,Ashford Hospitality Trust Inc Common Stock,141532876,United States,2003,Consumer Services,Real Estate Investment Trusts
ai,C3.ai Inc. Class A Common Stock,13941091891,,2020,Technology,Computer Software: Prepackaged Software
aif,Apollo Tactical Income Fund Inc. Common Stock,208715895,,2013,,
aig,American International Group Inc. New Common Stock,32401982856,United States,,Finance,Property-Casualty Insurers
aih,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,105313489,China,2019,Health Care,Medical Specialities
aihs,Senmiao Technology Limited Common Stock,45960347,China,2018,Finance,Finance: Consumer Services
aiki,AIkido Pharma Inc. Common Stock,25037797,United States,,Health Care,Biotechnology: Commercial Physical & Biological Resarch
aim,AIM ImmunoTech Inc. Common Stock,73105033,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
aimc,Altra Industrial Motion Corp. Common Stock,3559918350,United States,2006,Capital Goods,Industrial Machinery/Components
ain,Albany International Corporation Common Stock,2364198500,United States,,Basic Industries,Textiles
ainc,Ashford Inc. (Holding Company) Common Stock,14710591,United States,2014,Consumer Services,Professional Services
ainv,Apollo Investment Corporation Common Stock,692726153,United States,2004,,
aio,AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,891114392,,2019,,
air,AAR Corp. Common Stock,1276523793,United States,,Capital Goods,Aerospace
airc,Apartment Income REIT Corp. Common Stock,11582394056,,2020,Consumer Services,Real Estate Investment Trusts
airg,Airgain Inc. Common Stock,173878426,United States,2016,Technology,Radio And Television Broadcasting And Communications Equipment
airi,Air Industries Group Common Stock,40360248,United States,,Capital Goods,Military/Government/Technical
airt,Air T Inc. Common Stock,58357523,United States,,Transportation,Air Freight/Delivery Services
ait,Applied Industrial Technologies Inc. Common Stock,3025023732,United States,,Consumer Durables,Industrial Specialties
aiv,Apartment Investment and Management Company Common Stock,1541517997,United States,1994,Consumer Services,Real Estate Investment Trusts
aiz,Assurant Inc. Common Stock,7882545473,United States,2004,Finance,Property-Casualty Insurers
ajax,Ajax I Class A Ordinary Shares,1076484955,United States,2020,Finance,Business Services
ajg,Arthur J. Gallagher & Co. Common Stock,23430589260,United States,,Finance,Specialty Insurers
ajrd,Aerojet Rocketdyne Holdings Inc. Common Stock,4034663877,United States,,Capital Goods,Military/Government/Technical
ajx,Great Ajax Corp. Common Stock,239558207,United States,2015,Consumer Services,Real Estate Investment Trusts
akam,Akamai Technologies Inc. Common Stock,17097438590,United States,1999,Miscellaneous,Business Services
akba,Akebia Therapeutics Inc. Common Stock,415549320,United States,2014,Health Care,Major Pharmaceuticals
aker,Akers Biosciences Inc. Common Stock,37119359,United States,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
akr,Acadia Realty Trust Common Stock,1208616123,United States,,Consumer Services,Real Estate Investment Trusts
akro,Akero Therapeutics Inc. Common Stock,886448703,United States,2019,Health Care,Major Pharmaceuticals
akts,Akoustis Technologies Inc. Common Stock,479757450,United States,,Public Utilities,Telecommunications Equipment
aktx,Akari Therapeutics plc ADR (0.01 USD),70021441,United Kingdom,,Health Care,Major Pharmaceuticals
aku,Akumin Inc. Common Shares,210535284,Canada,,Health Care,Medical Specialities
akus,Akouos Inc. Common Stock,653270635,United States,2020,Health Care,Major Pharmaceuticals
al,Air Lease Corporation Class A Common Stock,5067712473,United States,2011,Technology,Diversified Commercial Services
alac,Alberton Acquisition Corporation Ordinary Shares,51240242,Hong Kong,2018,Finance,Business Services
alb,Albemarle Corporation Common Stock,15884477768,United States,,Basic Industries,Major Chemicals
albo,Albireo Pharma Inc. Common Stock,725698476,United States,,Health Care,Major Pharmaceuticals
alc,Alcon Inc. Ordinary Shares,32605180000,Switzerland,2019,Health Care,Ophthalmic Goods
alco,Alico Inc. Common Stock,233591699,United States,,Consumer Non-Durables,Farming/Seeds/Milling
aldx,Aldeyra Therapeutics Inc. Common Stock,265142970,United States,2014,Health Care,Major Pharmaceuticals
ale,Allete Inc.,3222182996,United States,,Public Utilities,Power Generation
alec,Alector Inc. Common Stock,1216375583,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
alex,Alexander & Baldwin Inc. Common Stock REIT Holding Company,1245218312,United States,,Consumer Services,Real Estate Investment Trusts
alg,Alamo Group Inc. Common Stock,1627024790,United States,,Capital Goods,Industrial Machinery/Components
algm,Allegro MicroSystems Inc. Common Stock,5261732505,United States,2020,Technology,Semiconductors
algn,Align Technology Inc. Common Stock,41295527298,United States,2001,Health Care,Industrial Specialties
algs,Aligos Therapeutics Inc. Common Stock,979252920,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
algt,Allegiant Travel Company Common Stock,3039183409,United States,2006,Transportation,Air Freight/Delivery Services
alim,Alimera Sciences Inc. Common Stock,22220452,United States,2010,Health Care,Major Pharmaceuticals
aljj,ALJ Regional Holdings Inc. Common Stock,47822784,United States,,Miscellaneous,Business Services
alk,Alaska Air Group Inc. Common Stock,6509661274,United States,,Transportation,Air Freight/Delivery Services
alks,Alkermes plc Ordinary Shares,3233923631,Ireland,1991,Health Care,Major Pharmaceuticals
all,Allstate Corporation (The) Common Stock,32930567216,United States,,Finance,Property-Casualty Insurers
alle,Allegion plc Ordinary Shares,10542148778,United States,2013,Consumer Services,Diversified Commercial Services
allk,Allakos Inc. Common Stock,7382757998,United States,2018,Health Care,Major Pharmaceuticals
allo,Allogene Therapeutics Inc. Common Stock,3756702471,United States,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
allt,Allot Ltd. Ordinary Shares,376069596,Israel,2006,Technology,Computer Communications Equipment
ally,Ally Financial Inc. Common Stock,13200264434,United States,2014,Finance,Major Banks
alna,Allena Pharmaceuticals Inc. Common Stock,63818707,United States,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
alny,Alnylam Pharmaceuticals Inc. Common Stock,15198768070,United States,2004,Health Care,Major Pharmaceuticals
alot,AstroNova Inc. Common Stock,74286952,United States,1983,Technology,Computer peripheral equipment
alpn,Alpine Immune Sciences Inc. Common Stock,312059729,United States,2015,Health Care,Major Pharmaceuticals
alrm,Alarm.com Holdings Inc. Common Stock,5070330210,United States,2015,Technology,Computer Software: Prepackaged Software
alrn,Aileron Therapeutics Inc. Common Stock,43329151,United States,2017,Health Care,Major Pharmaceuticals
alrs,Alerus Financial Corporation Common Stock,473590731,United States,2019,Finance,Major Banks
alsk,Alaska Communications Systems Group Inc. Common Stock,195375802,United States,1999,Public Utilities,Telecommunications Equipment
alsn,Allison Transmission Holdings Inc. Common Stock,4828507220,United States,2012,Capital Goods,Auto Parts:O.E.M.
alt,Altimmune Inc. Common Stock,385078957,United States,,Health Care,Major Pharmaceuticals
alta,Altabancorp Common Stock,518974337,United States,2015,Finance,Major Banks
altg,Alta Equipment Group Inc. Class A Common Stock,299584650,,2019,Capital Goods,Industrial Machinery/Components
altm,Altus Midstream Company Class A Common Stock,739213930,United States,2017,Public Utilities,Natural Gas Distribution
altr,Altair Engineering Inc. Class A Common Stock,4298641604,United States,2017,Technology,Computer Software: Prepackaged Software
alus,Alussa Energy Acquisition Corp. Class A Ordinary Shares,366921875,,2020,Finance,Business Services
alv,Autoliv Inc. Common Stock,8154702468,Sweden,,Capital Goods,Auto Parts:O.E.M.
alvr,AlloVir Inc. Common Stock,2473560152,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
alx,Alexander's Inc. Common Stock,1413365898,United States,,Consumer Services,Real Estate Investment Trusts
alxn,Alexion Pharmaceuticals Inc. Common Stock,34229768736,United States,1996,Health Care,Major Pharmaceuticals
alxo,ALX Oncology Holdings Inc. Common Stock,3213140330,United States,2020,Health Care,Major Pharmaceuticals
alya,Alithya Group inc. Class A Subordinate Voting Shares,124293843,Canada,,Technology,Computer Software: Programming Data Processing
am,Antero Midstream Corporation Common Stock,3760681726,United States,2017,Public Utilities,Natural Gas Distribution
amal,Amalgamated Bank Class A Common Stock,422273540,United States,2018,Consumer Non-Durables,Textiles
amat,Applied Materials Inc. Common Stock,79467939326,United States,1972,Technology,Semiconductors
amba,Ambarella Inc. Ordinary Shares,3235123963,United States,2012,Technology,Semiconductors
ambc,Ambac Financial Group Inc. Common Stock,693550364,United States,,Finance,Property-Casualty Insurers
ambo,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,49912972,China,,Consumer Services,Other Consumer Services
amc,AMC Entertainment Holdings Inc. Class A Common Stock,347310443,,2013,Consumer Services,Movies/Entertainment
amci,AMCI Acquisition Corp. Class A Common Stock,313542549,United States,2018,Miscellaneous,Industrial Machinery/Components
amcr,Amcor plc Ordinary Shares,18390445810,,2019,Consumer Durables,Miscellaneous manufacturing industries
amcx,AMC Networks Inc. Class A Common Stock,1463578782,United States,,Consumer Services,Television Services
amd,Advanced Micro Devices Inc. Common Stock,1.10847E+11,United States,,Technology,Semiconductors
ame,AMETEK Inc.,27597429801,United States,,Capital Goods,Industrial Machinery/Components
amed,Amedisys Inc Common Stock,9404484794,United States,,Health Care,Medical/Nursing Services
ameh,Apollo Medical Holdings Inc. Common Stock,656699626,United States,,Consumer Services,Professional Services
amg,Affiliated Managers Group Inc. Common Stock,4602673254,United States,,Finance,Investment Managers
amgn,Amgen Inc. Common Stock,1.32519E+11,United States,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
amh,American Homes 4 Rent Common Shares of Beneficial Interest,9487894260,,2013,Consumer Services,Real Estate Investment Trusts
amhc,Amplitude Healthcare Acquisition Corporation Class A Common Stock,127437500,United States,1991,Finance,Business Services
amk,AssetMark Financial Holdings Inc. Common Stock,1753996464,United States,2019,Finance,Investment Managers
amkr,Amkor Technology Inc. Common Stock,3664573542,United States,1998,Technology,Semiconductors
amn,AMN Healthcare Services Inc AMN Healthcare Services Inc,3214557367,United States,,Technology,Professional Services
amnb,American National Bankshares Inc. Common Stock,293589125,United States,,Finance,Major Banks
amot,Allied Motion Technologies Inc.,489982604,United States,,Capital Goods,Electrical Products
amov,America Movil S.A.B. de C.V. Class A American Depositary Shares,49096410982,Mexico,,Public Utilities,Telecommunications Equipment
amp,Ameriprise Financial Inc. Common Stock,22636407010,United States,,Finance,Investment Managers
ampe,Ampio Pharmaceuticals Inc.,266812299,United States,,Health Care,Major Pharmaceuticals
amph,Amphastar Pharmaceuticals Inc. Common Stock,951980541,United States,2014,Health Care,Major Pharmaceuticals
ampy,Amplify Energy Corp. Common Stock,50847506,United States,2016,Energy,Oil & Gas Production
amrb,American River Bankshares Common Stock,77662879,United States,,Finance,Major Banks
amrc,Ameresco Inc. Class A Common Stock,2499087776,United States,2010,Basic Industries,Engineering & Construction
amrh,Ameri Holdings Inc. Common Stock,11949013,United States,,Technology,Semiconductors
amrk,A-Mark Precious Metals Inc. Common Stock,179989124,United States,,Basic Industries,Other Specialty Stores
amrn,Amarin Corporation plc,1973309220,Ireland,,Health Care,Major Pharmaceuticals
amrs,Amyris Inc. Common Stock,1508227959,United States,2010,Basic Industries,Major Chemicals
amrx,Amneal Pharmaceuticals Inc. Class A Common Stock,693853668,,2018,Health Care,Major Pharmaceuticals
ams,American Shared Hospital Services Common Stock,11810050,United States,,Health Care,Medical Specialities
amsc,American Superconductor Corporation Common Stock,627832555,United States,1991,Consumer Durables,Metal Fabrications
amsf,AMERISAFE Inc. Common Stock,1105543264,United States,2005,Finance,Property-Casualty Insurers
amst,Amesite Inc. Common Stock,91378126,United States,2020,Technology,Computer Software: Prepackaged Software
amswa,American Software Inc. Class A Common Stock,561460777,United States,,Technology,Computer Software: Prepackaged Software
amt,American Tower Corporation (REIT) Common Stock,97722497066,United States,,Consumer Services,Real Estate Investment Trusts
amtb,Amerant Bancorp Inc. Class A Common Stock,568807027,United States,,Finance,Major Banks
amtbb,Amerant Bancorp Inc. Class B Common Stock,446973943,United States,,Finance,Major Banks
amti,Applied Molecular Transport Inc. Common Stock,1194382010,United States,2020,Health Care,Major Pharmaceuticals
amtx,Aemetis Inc. Common Stock,57154832,United States,,Basic Industries,Major Chemicals
amwd,American Woodmark Corporation Common Stock,1610961048,United States,1986,Basic Industries,Forest Products
amwl,American Well Corporation Class A Common Stock,6426048897,United States,2020,Miscellaneous,Business Services
